,timeRange,OutOfRange,meanOutOfRange,mk_test_trend,mk_test_p_value,mk_test_z_value,variance_FFT,MeanRange
0,2018-06-07 14:30:16 - nan,18,10.07,0,1.0,0.0,,
1,2018-06-05 14:20:04 - nan,14,14.36,0,1.0,0.0,,
2,2018-06-03 14:19:54 - nan,8,4.19,0,1.0,0.0,,
3,2018-05-30 13:15:23 - nan,10,1.88,0,1.0,0.0,,
4,2018-05-29 13:50:16 - nan,3,0.07,0,1.0,0.0,,
5,2018-05-28 14:10:13 - nan,3,0.43,0,1.0,0.0,,
6,2018-05-26 14:45:00 - nan,16,13.52,0,1.0,0.0,,
7,2018-05-21 15:30:46 - nan,0,0.0,0,1.0,0.0,,
8,2018-05-19 14:20:36 - nan,17,40.38,0,1.0,0.0,,
9,2018-05-18 14:00:31 - nan,12,4.52,0,1.0,0.0,,
10,2018-05-13 14:56:27 - nan,10,3.45,0,1.0,0.0,,
11,2018-05-11 14:01:17 - nan,16,12.24,0,1.0,0.0,,
12,2018-05-09 13:41:05 - nan,11,4.62,0,1.0,0.0,,
13,2018-05-07 15:03:03 - nan,21,59.36,0,1.0,0.0,,
14,2018-04-01 15:07:52 - nan,4,0.4,0,1.0,0.0,,
15,2018-03-31 14:12:46 - nan,8,5.9,0,1.0,0.0,,
16,2018-03-29 13:27:35 - nan,11,6.55,0,1.0,0.0,,
17,2018-03-26 13:55:30 - nan,10,2.02,0,1.0,0.0,,
18,2018-03-24 13:10:21 - 2018-03-24 10:45:19,15,17.33,1,8.989508248902212e-09,5.748769854277053,1088757.0000000002,
19,2018-03-22 13:45:09 - nan,0,0.0,0,1.0,0.0,,
20,2018-03-21 12:55:04 - nan,16,13.26,0,1.0,0.0,,
21,2018-03-19 14:29:09 - nan,7,3.76,0,1.0,0.0,,
22,2018-03-15 14:43:48 - nan,12,2.02,0,1.0,0.0,,
23,2018-03-06 14:38:36 - nan,16,6.76,0,1.0,0.0,,
24,2018-03-01 13:36:12 - nan,8,3.05,0,1.0,0.0,,
25,2018-02-24 13:45:55 - nan,18,7.07,0,1.0,0.0,,
26,2018-02-22 13:55:41 - nan,8,2.69,0,1.0,0.0,,
27,2018-02-20 13:25:33 - nan,11,0.64,0,1.0,0.0,,
28,2018-02-16 15:28:33 - nan,0,0.0,0,1.0,0.0,,
29,2018-02-14 12:43:22 - nan,0,0.0,0,1.0,0.0,,
30,2018-02-10 14:37:02 - nan,14,18.14,0,1.0,0.0,,
31,2018-02-09 13:56:56 - nan,0,0.0,0,1.0,0.0,,
32,2018-02-07 13:41:43 - nan,0,0.0,0,1.0,0.0,,
33,2018-02-05 15:16:35 - nan,0,0.0,0,1.0,0.0,,
34,2017-12-09 13:59:57 - nan,5,1.07,0,1.0,0.0,,
35,2017-12-06 13:29:42 - nan,12,5.33,0,1.0,0.0,,
36,2017-12-05 13:04:35 - nan,20,20.5,0,1.0,0.0,,
37,2017-12-04 13:34:30 - nan,4,0.64,0,1.0,0.0,,
38,2017-12-03 14:14:23 - nan,0,0.0,0,1.0,0.0,,
39,2017-12-02 14:48:45 - nan,20,21.6,0,1.0,0.0,,
40,2017-11-29 13:58:29 - nan,16,23.5,0,1.0,0.0,,
41,2017-11-28 13:33:23 - nan,12,4.05,0,1.0,0.0,,
42,2017-11-21 14:10:45 - nan,17,22.36,0,1.0,0.0,,
43,2017-11-20 14:40:40 - nan,24,31.67,0,1.0,0.0,,
44,2017-11-19 15:05:35 - nan,10,6.71,0,1.0,0.0,,
45,2017-11-17 13:53:59 - nan,29,44.55,0,1.0,0.0,,
46,2017-11-15 13:43:47 - nan,10,2.31,0,1.0,0.0,,
47,2017-11-08 13:58:08 - nan,18,40.76,0,1.0,0.0,,
48,2017-11-06 13:52:57 - nan,9,7.55,0,1.0,0.0,,
49,2017-11-05 16:17:52 - nan,16,8.6,0,1.0,0.0,,
50,2017-11-03 14:11:40 - nan,8,4.05,0,1.0,0.0,,
51,2017-10-30 15:38:08 - nan,10,6.48,0,1.0,0.0,,
